"Age","Gender","Education","Country","Ethnicity","Nscore2","Escore2","Cscore2","Alcohol2","Cannabis2","Nicotine2","Opioid","Ascore2","Oscore2"
"35-44","Female","Professional certificate/ diploma","UK","Mixed-White/Asian",39,36,42,"Used","Never Used","Used","Never Used",37,42
"25-34","Male","Doctorate degree","UK","White",29,52,41,"Used","Used","Used","Used",48,55
"35-44","Male","Professional certificate/ diploma","UK","White",31,45,34,"Used","Used","Never Used","Never Used",32,40
"18-24","Female","Masters degree","UK","White",34,34,46,"Used","Used","Used","Never Used",47,46
"35-44","Female","Doctorate degree","UK","White",43,28,50,"Used","Used","Used","Never Used",41,43
"65+","Female","Left school at 18 years","Canada","White",29,38,52,"Used","Never Used","Used","Never Used",55,35
"45-54","Male","Masters degree","USA","White",31,32,48,"Used","Used","Used","Never Used",41,43
"35-44","Male","Left school at 16 years","UK","White",24,52,52,"Used","Never Used","Never Used","Never Used",41,40
"35-44","Female","Professional certificate/ diploma","Canada","White",42,55,49,"Used","Never Used","Used","Never Used",48,39
"55-64","Male","Masters degree","UK","White",33,40,43,"Used","Used","Used","Never Used",47,36
"25-34","Female","University degree","UK","White",26,45,53,"Used","Used","Used","Never Used",38,38
"45-54","Male","Some college or university, no certificate or degree","Other","White",24,40,38,"Used","Used","Used","Never Used",30,47
"55-64","Female","University degree","UK","White",56,41,36,"Used","Used","Used","Used",32,49
"55-64","Female","Professional certificate/ diploma","Canada","White",28,45,59,"Used","Never Used","Used","Never Used",49,46
"55-64","Female","Professional certificate/ diploma","UK","White",27,49,52,"Used","Never Used","Used","Never Used",39,49
"55-64","Male","University degree","UK","White",19,29,49,"Used","Used","Never Used","Never Used",36,35
"35-44","Female","Some college or university, no certificate or degree","UK","White",22,34,47,"Used","Used","Used","Never Used",45,34
"45-54","Male","Left school at 16 years","UK","White",41,31,31,"Used","Used","Used","Never Used",40,44
"55-64","Male","University degree","Australia","White",49,39,30,"Used","Used","Never Used","Never Used",30,45
"35-44","Male","Professional certificate/ diploma","UK","White",32,27,47,"Used","Used","Used","Used",30,29
"45-54","Male","Professional certificate/ diploma","UK","White",28,45,33,"Used","Used","Used","Never Used",53,51
"65+","Male","Left school before 16 years","UK","White",25,43,53,"Used","Used","Used","Never Used",39,38
"45-54","Male","University degree","UK","White",40,33,35,"Used","Never Used","Never Used","Never Used",50,40
"45-54","Male","Left school at 16 years","UK","White",51,16,34,"Used","Used","Used","Never Used",45,37
"55-64","Male","University degree","UK","White",34,44,51,"Used","Used","Used","Never Used",48,54
"45-54","Male","Some college or university, no certificate or degree","UK","White",28,37,42,"Used","Used","Used","Never Used",49,37
"55-64","Female","Left school at 18 years","Canada","White",35,28,46,"Used","Used","Used","Never Used",38,24
"35-44","Male","University degree","UK","White",41,31,25,"Used","Used","Used","Never Used",43,46
"35-44","Female","Masters degree","UK","White",36,29,50,"Used","Used","Never Used","Never Used",45,41
"45-54","Male","Doctorate degree","UK","White",24,51,53,"Never Used","Never Used","Never Used","Never Used",49,52
"45-54","Male","Left school at 16 years","UK","White",39,34,37,"Used","Used","Used","Used",33,37
"35-44","Female","Left school at 16 years","Other","White",25,34,42,"Used","Never Used","Used","Never Used",39,47
"35-44","Male","University degree","UK","White",28,31,42,"Used","Used","Used","Never Used",46,46
"18-24","Male","University degree","UK","White",40,38,41,"Used","Never Used","Never Used","Never Used",51,48
"35-44","Male","University degree","USA","Other",46,44,36,"Used","Used","Used","Used",23,52
"65+","Male","Left school before 16 years","UK","White",33,34,36,"Used","Never Used","Used","Never Used",41,28
"35-44","Male","University degree","UK","White",33,36,30,"Used","Never Used","Never Used","Never Used",43,45
"55-64","Male","Left school before 16 years","USA","White",39,42,37,"Used","Used","Used","Never Used",44,53
"45-54","Male","University degree","UK","White",22,48,47,"Used","Used","Used","Never Used",43,48
"65+","Female","Professional certificate/ diploma","UK","White",33,33,45,"Used","Used","Used","Used",38,38
"35-44","Male","Masters degree","UK","White",36,37,47,"Used","Never Used","Used","Never Used",29,46
"35-44","Female","University degree","UK","White",44,40,39,"Used","Never Used","Used","Never Used",54,53
"35-44","Male","Masters degree","UK","White",34,33,37,"Used","Used","Used","Never Used",43,37
"35-44","Male","Professional certificate/ diploma","UK","White",27,36,34,"Used","Used","Used","Never Used",42,44
"25-34","Male","University degree","UK","Other",26,49,48,"Used","Never Used","Used","Never Used",51,49
"25-34","Female","University degree","UK","White",31,43,52,"Used","Never Used","Never Used","Never Used",49,54
"45-54","Female","Some college or university, no certificate or degree","Canada","White",39,44,51,"Used","Used","Used","Never Used",45,38
"45-54","Male","Masters degree","UK","White",19,45,49,"Used","Used","Never Used","Never Used",49,48
"45-54","Male","Left school at 16 years","UK","White",37,34,37,"Used","Used","Used","Never Used",42,44
"25-34","Female","Masters degree","UK","Mixed-White/Black",44,36,44,"Used","Never Used","Used","Never Used",37,32
"35-44","Male","Masters degree","UK","White",46,39,42,"Used","Used","Used","Never Used",35,45
"45-54","Male","Professional certificate/ diploma","Canada","White",47,46,27,"Used","Used","Used","Never Used",37,42
"55-64","Female","University degree","UK","White",34,40,36,"Used","Never Used","Used","Never Used",45,36
"45-54","Male","Masters degree","UK","White",23,39,44,"Used","Used","Used","Never Used",45,53
"55-64","Male","Left school at 16 years","UK","White",36,47,33,"Used","Used","Used","Never Used",36,42
"55-64","Female","Professional certificate/ diploma","UK","White",36,35,39,"Used","Never Used","Never Used","Never Used",40,38
